Date,NIFTY,DOW,FTSE,Nikkei,HANSENG
25-12-2023,21731.40039,37689.53906,7733.200195,33377.42188,17047.39063
01-01-2024,21710.80078,37466.10938,7689.600098,35577.10938,16535.33008
08-01-2024,21894.55078,37592.98047,7624.899902,35963.26953,16244.58008
15-01-2024,21622.40039,37863.80078,7461.899902,35751.07031,15308.69043
22-01-2024,21352.59961,38109.42969,7635.100098,36158.01953,15952.23047
29-01-2024,21853.80078,38654.42188,7615.5,36897.42188,15533.55957
05-02-2024,21782.5,38671.69141,7572.600098,38487.23828,15746.58008
12-02-2024,22040.69922,38627.98828,7711.700195,39098.67969,16339.95996
19-02-2024,22212.69922,39131.53125,7706.299805,39910.82031,16725.85938
26-02-2024,22338.75,39087.37891,7682.5,39688.94141,16589.43945
04-03-2024,22493.55078,38722.69141,7659.700195,38707.64063,16353.38965
11-03-2024,22023.34961,38714.76953,7727.399902,40888.42969,16720.89063
18-03-2024,22096.75,39475.89844,7930.899902,40369.44141,16499.4707
25-03-2024,22326.90039,39807.37109,7952.600098,38992.07813,16541.41992
01-04-2024,22513.69922,38904.03906,7911.200195,39523.55078,16723.91992
08-04-2024,22519.40039,37983.23828,7995.600098,38471.19922,16721.68945
15-04-2024,22272.5,37759.78906,7820.359863,38271.19922,16248.96973
